User INV Type,Project Name,Supplier Number,Supplier Name,Cost Center,Invoice No,Voucher No ,Category,Invoice Type,Currency,Invoice Date,PO,Department,,Functional Net ,Due Dates,Terms,Due Amount,< 30 Days,30 : 60,60 :90,90:120,120:180,180:270,270:360,>360,Cutoff Date
2,New Giza Teaching Hospital,10037,ايه وان للمقاولات,126.0,4 New Giza Teaching Hospital 66627/4,23402940,Procurement,STANDARD,EGP,  18-APR-23,66627,Procurement,,1948.24,2023-05-08,100% 30 Days,0,1948.24,0,0,0,0,0,,0,2023-07-12
2,New Giza Teaching Hospital,10037,ايه وان للمقاولات,126.0,5 New Giza Teaching Hospital 66627/5,23405102,Procurement,STANDARD,EGP,  22-JUN-23,66627,Procurement,,67347.51,2023-07-10,100% 30 Days,0,67347.51,0,0,0,0,0,,0,2023-07-12
2,New Giza Teaching Hospital,10037,ايه وان للمقاولات,126.0,6 New Giza Teaching Hospital 66627/6,23405098,Procurement,STANDARD,EGP,  22-JUN-23,66627,Procurement,,148242.95,2023-07-18,100% 30 Days,0,148242.95,0,0,0,0,0,,0,2023-07-12
2,Royal City,10037,ايه وان للمقاولات,63.0,رويال سيتى 4,21409241,,STANDARD,EGP,  19-DEC-21,56902,Procurement,,68003.76,2021-12-27,100% 15 Day,0,68003.76,0,0,0,0,0,,0,2023-07-12
2,Royal City,10037,ايه وان للمقاولات,63.0,رويال سيتى 5,22400651,,STANDARD,EGP,  25-JAN-22,56902,Procurement,,73445.9,2022-01-20,100% 15 Day,0,73445.9,0,0,0,0,0,,0,2023-07-12
2,Royal City,10037,ايه وان للمقاولات,63.0,رويال سيتى 7,22408139,Procurement,STANDARD,EGP,  10-SEP-22,56902,Procurement,,262807.95,2022-09-09,100% 30 Days,0,262807.95,0,0,0,0,0,,0,2023-07-12
2,Waldorf Astoria Cairo,10037,ايه وان للمقاولات,164.0,3 Waldorf Astoria Cairo 63247/3,23400723,Equipment,STANDARD,EGP,  31-JAN-23,63247,Procurement,,23845.44,2023-03-02,100% 30 Days,0,23845.44,0,0,0,0,0,,0,2023-07-12
2,NUCA R05 - Z02,10037,ايه وان للمقاولات,88.0,5 R5,23400502,Procurement,STANDARD,EGP,  31-JAN-23,61556,Procurement,,71424.25,2023-02-22,100% 30 Days,0,71424.25,0,0,0,0,0,,0,2023-07-12
4,Other,10039,ام تي ميكسرز للإستيراد والتصدير والتوكيلات التجاريه,error,رد دفعه,22001693,,STANDARD,EGP,  28-FEB-22,,,,406246,2022-02-28,Immediate,0,406246,0,0,0,0,0,,0,2023-07-12
2,Closed,1005,الشركة المصرية للانشاءات المعدنية امكون,error,اقفال الدفعة في التأمين,19405749,,STANDARD,EGP,  19-NOV-19,,,,0.08,2019-11-19,Immediate,0,0.08,0,0,0,0,0,,0,2023-07-12
2,Other,1005,الشركة المصرية للانشاءات المعدنية امكون,error,OB-ADV-2017-6167,1601343,,PREPAYMENT,EGP,  31-MAR-17,,,,0.08,2017-03-31,Immediate,0,0.08,0,0,0,0,0,,0,2023-07-12
2,Faculty of Medicine,10054,جيماتك للمقاولات العموميه واعمال الكهرباء وخدمة الطاقة الشمسيه,139,14 Faculty of Medicine-54122/14,22408802,Subcontractors MEP,STANDARD,EGP,  27-SEP-22,54122,Mechanical,,0,2022-10-21,100% 30 Days,0,0,0,0,0,0,0,,0,2023-07-12
4,Other,10061,"Mohamed Mohamed El Sayed Mohamed El Asfoury,",error,623077,21003765,,EXPENSE REPORT,EGP,  08-AUG-21,,,,500,2021-08-08,Immediate,0,500,0,0,0,0,0,,0,2023-07-12
4,Other,10068,"Ahmed Abdelrahman Elgonemy Ibrahim,",error,602078,21003777,,EXPENSE REPORT,EGP,  08-AUG-21,,,,550,2021-08-08,Immediate,0,550,0,0,0,0,0,,0,2023-07-12
2,NREA Gulf El Zayt120 MW (FIEM),1008,حسين عدلي حسين,error,رد ت ابتدائي FIEM,1612927,,STANDARD,EGP,  26-AUG-17,,,,6210,2017-09-25,100% 30 Days,0,6210,0,0,0,0,0,,0,2023-07-12
2,NREA Gulf El Zayt120 MW (FIEM),1008,حسين عدلي حسين,error,م ختامي FIEM,1612804,,STANDARD,EGP,  26-AUG-17,,,,932.93,2017-09-25,100% 30 Days,0,932.93,0,0,0,0,0,,0,2023-07-12
2,NUCA R05 - Z02,10089,ويف للاستشارات,88,5 R5,23401399,Subcontractors Civil,STANDARD,EGP,  08-MAR-23,54969,Operation O,,66356.53,2023-03-22,100% 30 Days,0,66356.53,0,0,0,0,0,,0,2023-07-12
2,NUCA R05 - Z02,10093,كونستيرا للانشاءات,88,8 R5,22403679,,STANDARD,EGP,  24-APR-22,55034,Procurement,,11935.45,2022-05-17,100% 30 Days,0,11935.45,0,0,0,0,0,,0,2023-07-12
2,NUCA R05 - Z02,10093,كونستيرا للانشاءات,88,9 R5,22406456,Subcontractors Civil,STANDARD,EGP,  21-JUL-22,55034,Procurement,,15752.88,2022-08-06,100% 30 Days,0,15752.88,0,0,0,0,0,,0,2023-07-12
2,GOV2 - Infra,10099,الاقصى للمقاولات والتوريدات – السيد فوزى السيد ابراهيم,133,23 GOV2 - Infra.55090/23,23404935,Subcontractors Civil,STANDARD,EGP,  20-JUN-23,55090,Operation O,,9086.62,2023-07-08,100% 30 Days,0,9086.62,0,0,0,0,0,,0,2023-07-12
2,Air Defense College,10100,الفارس للمقاولات العامه,150,9 Air Defense College.76760/9,23404926,Procurement,STANDARD,EGP,  20-JUN-23,76760,Procurement,,317905.28,2023-07-12,100% 30 Days,0,317905.28,0,0,0,0,0,,0,2023-07-12
2,Kayan 3 New Cairo Capital City,10100,الفارس للمقاولات العامه,446,1 kayan 110,22409241,Procurement,STANDARD,EGP,  10-OCT-22,73239,Procurement,,211310.96,2022-11-09,100% 30 Days,0,211310.96,0,0,0,0,0,,0,2023-07-12
2,Kayan 3 New Cairo Capital City,10100,الفارس للمقاولات العامه,446,2 kayan,22412087,Procurement,STANDARD,EGP,  29-DEC-22,73239,Procurement,,72312.94,2023-01-28,100% 30 Days,0,72312.94,0,0,0,0,0,,0,2023-07-12
2,Olympic Multi – Sports Hall,10100,الفارس للمقاولات العامه,99,19 OLYMPIC SPORT,22412006,Procurement,STANDARD,EGP,  28-DEC-22,,,,7436.1,2023-01-25,100% 30 Days,0,7436.1,0,0,0,0,0,,0,2023-07-12
2,Olympic Multi – Sports Hall,10100,الفارس للمقاولات العامه,99,20   الصالة المغطاة,23400182,Procurement,STANDARD,EGP,  18-JAN-23,55086,Procurement,,4357.2,2023-02-17,100% 30 Days,0,4357.2,0,0,0,0,0,,0,2023-07-12
2,Olympic Multi – Sports Hall,10100,الفارس للمقاولات العامه,99,الصالة المغطاة 23.,23401358,Procurement,STANDARD,EGP,  28-FEB-23,55091,Procurement,,97000.07,2023-03-30,100% 30 Days,0,97000.07,0,0,0,0,0,,0,2023-07-12
4,Other,10101,"Salah Rashad Ahmed Rashad,",error,666102,21003965,,EXPENSE REPORT,EGP,  16-AUG-21,,,,289.72,2021-08-16,Immediate,0,289.72,0,0,0,0,0,,0,2023-07-12
2,Kattameya Creeks,10105,الدولية للمقاولات والتوريدات-اى سى سى  اشرف محمد قناوى محمد حمزه,138,17 Kattameya Creeks 56240/17,23402423,Equipment,STANDARD,EGP,  30-MAR-23,56240,Operation M,,38431.76,2023-04-13,100% 21 Days,0,38431.76,0,0,0,0,0,,0,2023-07-12
2,Kattameya Creeks,10105,الدولية للمقاولات والتوريدات-اى سى سى  اشرف محمد قناوى محمد حمزه,138,18 Kattameya Creeks 56240/18,23403104,Subcontractors Civil,STANDARD,EGP,  30-APR-23,56240,Operation M,,10517.46,2023-05-04,100% 21 Days,0,10517.46,0,0,0,0,0,,0,2023-07-12
2,Kattameya Creeks,10105,الدولية للمقاولات والتوريدات-اى سى سى  اشرف محمد قناوى محمد حمزه,138,19 Kattameya Creeks 56240/19,23404844,Subcontractors Civil,STANDARD,EGP,  20-JUN-23,56240,Operation M,,44030.69,2023-07-04,100% 21 Days,0,44030.69,0,0,0,0,0,,0,2023-07-12
2,Kattameya Creeks,10105,الدولية للمقاولات والتوريدات-اى سى سى  اشرف محمد قناوى محمد حمزه,138,18 Kattameya Creeks 57363/18,23404843,Subcontractors Civil,STANDARD,EGP,  20-JUN-23,57363,Operation M,,12659.53,2023-07-04,100% 21 Days,0,12659.53,0,0,0,0,0,,0,2023-07-12
2,Kattameya Creeks,10105,الدولية للمقاولات والتوريدات-اى سى سى  اشرف محمد قناوى محمد حمزه,138,7 Kattameya Creeks 68461/7,23404841,Subcontractors Civil,STANDARD,EGP,  20-JUN-23,68461,Operation M,,448.4,2023-07-13,100% 30 Days,0,448.4,0,0,0,0,0,,0,2023-07-12
1,ORA ZED - Ph 01B - Pkgs A&D,10107,عرب جروب للتوريدات العموميه-بلال سعيد العربى وشريكه,137,1851-1852,21313661,Current account Purchasing,STANDARD,EGP,  30-SEP-21,55574,Purchasing,,4253.87,2021-11-19,100% 60 Day,0,0,4253.87,0,0,0,0,,0,2023-07-12
1,Ras El Teen Hangar,10112,الرواد لتصنيع الخرسانه الجاهزه,161,533-535.,21318499,Procurement,STANDARD,EGP,  23-DEC-21,55166,Procurement,,1.02,2021-12-23,Immediate,0,1.02,0,0,0,0,0,,0,2023-07-12
2,Air Defense College,10130,الامير الحديثة للمقاولات والاعمال المتكاملة,150,15 Air Defense College.55256/15,23401611,Subcontractors Civil,STANDARD,EGP,  13-MAR-23,55256,Operation O,,46369.84,2023-03-13,100% 15 Day,0,46369.84,0,0,0,0,0,,0,2023-07-12
2,Air Defense College,10130,الامير الحديثة للمقاولات والاعمال المتكاملة,150,8 Air Defense College.61318/8,23401592,Subcontractors Civil,STANDARD,EGP,  13-MAR-23,61318,Operation O,,7615.43,2023-03-13,100% 15 Day,0,7615.43,0,0,0,0,0,,0,2023-07-12
1,ORA ZED - Ph 01B - Pkgs A&D,10131,علوان للتوكيلات التجاريه الاستيراد والتصدير,137,10147,22311589,Current account Purchasing,STANDARD,EGP,  21-AUG-22,67111,Purchasing,,53681.06,2022-08-21,Immediate,0,53681.06,0,0,0,0,0,,0,2023-07-12
2,Faculty of Medicine,10135,تارجت للمقاولات والتوريدات لمواد البناء,139,14 Faculty of Medicine.62943/14,23404864,Subcontractors MEP,STANDARD,EGP,  20-JUN-23,62943,Mechanical,,52204.63,2023-07-12,100% 30 Days,0,52204.63,0,0,0,0,0,,0,2023-07-12
1,NUCA R05 - Z02,10138,مصرى للهندسه والتجارة,88,3849,22314801,Current account Mep,STANDARD,EGP,  18-OCT-22,58607,Mechanical,,1629.48,2022-10-18,Immediate,0,1629.48,0,0,0,0,0,,0,2023-07-12
1,Abou Ghaleb Bridge,10139,ايزى للخرسانة الجاهزة  ايزى مكس,157,479,22313645,Procurement Concrete,STANDARD,EGP,  25-SEP-22,73729,Procurement,,2971.66,2023-03-16,100% 30 Days,0,0,0,0,0,2971.66,0,,2971.66,2023-07-12
4,MDF Factory,10147,الهيئة القومية للتأمين الاجتماعى مكتب تأمينات مقاولات-المنوفية,147,سداد تأمينات م5 (هياكل MDF),22002196,Insurance Projetcs,STANDARD,EGP,  31-AUG-22,,,,82,2022-08-31,Immediate,0,82,0,0,0,0,0,,0,2023-07-12
4,MDF Factory,10147,الهيئة القومية للتأمين الاجتماعى مكتب تأمينات مقاولات-المنوفية,147,سداد تامينات م 16 تركيبات mdf,23001358,Insurance Projetcs,STANDARD,EGP,  22-JUN-23,,,,43525,2023-06-22,Immediate,0,43525,0,0,0,0,0,,0,2023-07-12
4,MDF Factory,10147,الهيئة القومية للتأمين الاجتماعى مكتب تأمينات مقاولات-المنوفية,147,سداد تامينات م 24 mdf,23001359,Insurance Projetcs,STANDARD,EGP,  22-JUN-23,,,,443820,2023-06-22,Immediate,0,443820,0,0,0,0,0,,0,2023-07-12
4,MDF Factory,10147,الهيئة القومية للتأمين الاجتماعى مكتب تأمينات مقاولات-المنوفية,147,سداد تامينات م 25 mdf,23001460,Insurance Projetcs,STANDARD,EGP,  09-JUL-23,,,,227528,2023-07-09,Immediate,0,227528,0,0,0,0,0,,0,2023-07-12
2,ElSewedy HQ Internal Finishing,10156,ابراهيم محمد محمد جاد الله,141,8 ElSewedy HQ Internal Finishing  55563/8,23400993,Procurement,STANDARD,EGP,  21-FEB-23,55563,Procurement,,15298.44,2022-03-21,100% 30 Days,0,15298.44,0,0,0,0,0,,0,2023-07-12
1,EGAT Pelletizing Plant,10158,هرمس لتوريد وتركيب وصيانة ماكينات المصانع -محمد عبد الله محمد احمد,144,489,22302574,Current account Mep,STANDARD,EGP,  22-FEB-22,56134,Mechanical,,1,2022-02-22,Immediate,0,1,0,0,0,0,0,,0,2023-07-12
2,Other,1016,حسن ثابت مصطفي,error,OB-ST-2017-6066,1606148,,STANDARD,EGP,  31-MAR-17,,,,0.2,2017-03-31,Immediate,0,0.2,0,0,0,0,0,,0,2023-07-12
2,ORA ZED-Ph 2-Pkgs A&D,10160,بدرى حمدى راغب,151,2 ORA ZED-Ph 2 76873/2,22412204,Procurement,STANDARD,EGP,  31-DEC-22,76873,Operation M,,41798.15,2023-01-21,100% 30 Days,0,41798.15,0,0,0,0,0,,0,2023-07-12
2,ORA ZED-Ph 2-Pkgs A&D,10160,بدرى حمدى راغب,151,3 ORA ZED-Ph 2 - 76873/3,23400425,Subcontractors Civil,STANDARD,EGP,  28-JAN-23,76873,Operation M,,39747.89,2023-02-14,100% 30 Days,0,39747.89,0,0,0,0,0,,0,2023-07-12
2,ORA ZED-Ph 2-Pkgs A&D,10160,بدرى حمدى راغب,151,4 ORA ZED-Ph 2 76873/4,23402431,Procurement,STANDARD,EGP,  30-MAR-23,76873,Operation M,,31753,2023-04-24,100% 30 Days,0,31753,0,0,0,0,0,,0,2023-07-12
2,ORA ZED-Ph 2-Pkgs A&D,10160,بدرى حمدى راغب,151,5 ORA ZED-Ph 2 76873/5,23403187,Subcontractors Civil,STANDARD,EGP,  30-APR-23,76873,Operation M,,36812.42,2023-05-15,100% 30 Days,0,36812.42,0,0,0,0,0,,0,2023-07-12
2,ORA ZED-Ph 2-Pkgs A&D,10160,بدرى حمدى راغب,151,6 ORA ZED-Ph 2-Pkgs A&D 76873/6,23404335,Subcontractors Civil,STANDARD,EGP,  30-MAY-23,76873,Operation M,,42013.97,2023-06-23,100% 30 Days,0,42013.97,0,0,0,0,0,,0,2023-07-12
2,Other,1017,مؤسسة نور للمقاولات والتوريدات العمومية,error,OB-ST-2017-6067,1606149,,STANDARD,EGP,  31-MAR-17,,,,0.28,2017-03-31,Immediate,0,0.28,0,0,0,0,0,,0,2023-07-12
1,EGAT Pelletizing Plant,10173,الشركه العالميه للعزل,144,1164,22314905,Current account Purchasing,STANDARD,EGP,  20-OCT-22,72175,Purchasing,,0.41,2022-10-20,Immediate,0,0.41,0,0,0,0,0,,0,2023-07-12
4,Ras El Teen Hangar,10178,السيد الحفنى احمد جبر -ذاتى,161,يوميات عماله م03-رد تامين-راس التين,21006545,,STANDARD,EGP,  30-DEC-21,,,,5593.25,2021-12-30,Immediate,0,5593.25,0,0,0,0,0,,0,2023-07-12
2,ORA ZED - Ph 01B - Pkgs A&D,10185,عبد المنعم حسين احمد حسن,137,14 ORA ZED - Ph 01B 57678/14,22411567,Subcontractors Civil,STANDARD,EGP,  22-DEC-22,57678,Procurement,,18313.28,2023-01-14,100% 30 Days,0,18313.28,0,0,0,0,0,,0,2023-07-12
2,NUCA R05 - Z02,10185,عبد المنعم حسين احمد حسن,88,1 R5 كرانيش,22408271,Subcontractors Civil,STANDARD,EGP,  15-SEP-22,72680,Operation O,,435.85,2022-09-29,100% 15 Day,0,435.85,0,0,0,0,0,,0,2023-07-12
2,NUCA R05 - Z02,10185,عبد المنعم حسين احمد حسن,88,2 R5.,22408835,Subcontractors Civil,STANDARD,EGP,  27-SEP-22,72680,Operation O,,4215.93,2022-10-12,100% 15 Day,0,4215.93,0,0,0,0,0,,0,2023-07-12
2,NUCA R05 - Z02,10185,عبد المنعم حسين احمد حسن,88,3 R5 كرانيش,22409631,Subcontractors Civil,STANDARD,EGP,  24-OCT-22,72680,Operation O,,14772.01,2022-10-26,100% 15 Day,0,14772.01,0,0,0,0,0,,0,2023-07-12
2,Olympic Multi – Sports Hall,10190,طموح للمقاولات والاستثمار الزراعى والحيوانى,99,12 olympic sport,22405025,,STANDARD,EGP,  31-MAY-22,,,,18953.43,2022-06-28,100% 30 Days,0,18953.43,0,0,0,0,0,,0,2023-07-12
1,Other,1020,محمد شبانه وشركاه لخدمات النقل,error,OB-ST-2017-6068,1606150,Misc,STANDARD,EGP,  31-MAR-17,,,,4.78,2017-03-31,Immediate,0,4.78,0,0,0,0,0,,0,2023-07-12
1,MDF Factory,10205,سمارت بوينت-عبد العزيز عبد العليم عبد الفضيل,147,4136,21315387,Current account Purchasing,STANDARD,EGP,  09-NOV-21,57607,Purchasing,,991.64,2021-11-26,100% 30 Days,0,991.64,0,0,0,0,0,,0,2023-07-12
1,HST Culverts,10207,ووتر تانك,169,947,22318484,Current account Purchasing,STANDARD,EGP,  28-DEC-22,68601,Purchasing,,3577.33,2022-12-28,Immediate,0,3577.33,0,0,0,0,0,,0,2023-07-12
1,October Dry Port Railway,10207,ووتر تانك,153,623,22304944,Current account Purchasing,STANDARD,EGP,  31-MAR-22,65542,Purchasing,,4349.78,2022-05-19,100% 60 Day,0,0,4349.78,0,0,0,0,,0,2023-07-12
2,NUCA R05 - Z02,10210,ايجي جلاس,88,6 R5,22409636,Procurement,STANDARD,EGP,  24-OCT-22,55941,Procurement,,469.88,2022-11-11,100% 30 Days,0,469.88,0,0,0,0,0,,0,2023-07-12
2,NUCA R05 - Z02,10210,ايجي جلاس,88,08 R05,22411279,Procurement,STANDARD,EGP,  13-DEC-22,55941,Procurement,,17892.42,2023-01-11,100% 30 Days,0,17892.42,0,0,0,0,0,,0,2023-07-12
2,NUCA R05 - Z02,10210,ايجي جلاس,88,9 R5,23401975,Procurement,STANDARD,EGP,  19-MAR-23,55941,Procurement,,34976.99,2023-04-18,100% 30 Days,0,34976.99,0,0,0,0,0,,0,2023-07-12
2,Kattameya Creeks,10211,محمود جمال محمود محمد,138,13 Katameya - 57477/13,22404987,,STANDARD,EGP,  31-MAY-22,57477,Operation M,,23436.97,2022-06-12,100% 21 Days,0,23436.97,0,0,0,0,0,,0,2023-07-12
2,Kattameya Creeks,10211,محمود جمال محمود محمد,138,14 Katameya - 57477/14,22405431,,STANDARD,EGP,  17-JUN-22,57477,Operation M,,2738.55,2022-07-02,100% 21 Days,0,2738.55,0,0,0,0,0,,0,2023-07-12
2,Kattameya Creeks,10211,محمود جمال محمود محمد,138,16 Katameya - 57477/16,22406939,Subcontractors Civil,STANDARD,EGP,  31-JUL-22,57477,Operation M,,4454,2022-08-15,100% 21 Days,0,4454,0,0,0,0,0,,0,2023-07-12
2,Kattameya Creeks,10211,محمود جمال محمود محمد,138,19 Katameya 57477/19,22408211,Procurement,STANDARD,EGP,  15-SEP-22,57477,Operation M,,3963.2,2022-09-28,100% 21 Days,0,3963.2,0,0,0,0,0,,0,2023-07-12
2,Kattameya Creeks,10211,محمود جمال محمود محمد,138,20 Katameya 57477/20,22409084,Subcontractors Civil,STANDARD,EGP,  30-SEP-22,57477,Operation M,,4065.01,2022-10-16,100% 21 Days,0,4065.01,0,0,0,0,0,,0,2023-07-12
2,Kattameya Creeks,10211,محمود جمال محمود محمد,138,21 Katameya 57477/21,22409548,Subcontractors Civil,STANDARD,EGP,  23-OCT-22,,,,2375.81,2022-10-31,100% 21 Days,0,2375.81,0,0,0,0,0,,0,2023-07-12
2,Kattameya Creeks,10211,محمود جمال محمود محمد,138,22 Kattameya Creeks-57477/22,22410102,Procurement,STANDARD,EGP,  31-OCT-22,57477,Operation M,,4021.22,2022-12-13,100% 21 Days,0,4021.22,0,0,0,0,0,,0,2023-07-12
2,Kattameya Creeks,10211,محمود جمال محمود محمد,138,24 Kattameya Creeks 57477/24,22411241,Subcontractors Civil,STANDARD,EGP,  12-DEC-22,57477,Operation M,,11485.09,2022-12-22,100% 21 Days,0,11485.09,0,0,0,0,0,,0,2023-07-12
2,Kattameya Creeks,10211,محمود جمال محمود محمد,138,25 Kattameya Creeks 57477/25,22411579,Subcontractors Civil,STANDARD,EGP,  22-DEC-22,57477,Operation M,,5175.69,2023-01-03,100% 21 Days,0,5175.69,0,0,0,0,0,,0,2023-07-12
2,Kattameya Creeks,10211,محمود جمال محمود محمد,138,26 Kattameya Creeks 57477/26,22412100,Subcontractors Civil,STANDARD,EGP,  29-DEC-22,57477,Operation M,,9404.68,2023-01-11,100% 21 Days,0,9404.68,0,0,0,0,0,,0,2023-07-12
2,Kattameya Creeks,10211,محمود جمال محمود محمد,138,28 Kattameya Creeks 57477/28,23401012,Subcontractors Civil,STANDARD,EGP,  21-FEB-23,57477,Operation M,,12044.84,2023-03-06,100% 21 Days,0,12044.84,0,0,0,0,0,,0,2023-07-12
2,Kattameya Creeks,10211,محمود جمال محمود محمد,138,29 Kattameya Creeks 57477/29,23402002,Subcontractors Civil,STANDARD,EGP,  19-MAR-23,57477,Operation M,,4626.1,2023-03-18,100% 21 Days,0,4626.1,0,0,0,0,0,,0,2023-07-12
2,Kattameya Creeks,10211,محمود جمال محمود محمد,138,30 Kattameya Creeks 57477/30,23402143,Subcontractors Civil,STANDARD,EGP,  23-MAR-23,57477,Operation M,,3563.04,2023-04-01,100% 21 Days,0,3563.04,0,0,0,0,0,,0,2023-07-12
2,Kattameya Creeks,10211,محمود جمال محمود محمد,138,31 Kattameya Creeks 57477/31,23402415,Subcontractors Civil,STANDARD,EGP,  30-MAR-23,57477,Operation M,,1767.53,2023-04-13,100% 21 Days,0,1767.53,0,0,0,0,0,,0,2023-07-12
2,Kattameya Creeks,10211,محمود جمال محمود محمد,138,32 Kattameya Creeks 57477/32,23403110,Subcontractors Civil,STANDARD,EGP,  30-APR-23,57477,Operation M,,2637.89,2023-05-04,100% 21 Days,0,2637.89,0,0,0,0,0,,0,2023-07-12
2,Kattameya Creeks,10211,محمود جمال محمود محمد,138,33 Kattameya Creeks 57477/33,23403903,Subcontractors Civil,STANDARD,EGP,  21-MAY-23,57477,Operation M,,20863.71,2023-05-10,100% 21 Days,0,20863.71,0,0,0,0,0,,0,2023-07-12
2,Kattameya Creeks,10211,محمود جمال محمود محمد,138,34 Kattameya Creeks 57477/34,23404402,Subcontractors Civil,STANDARD,EGP,  31-MAY-23,57477,Operation M,,2110.17,2023-06-15,100% 21 Days,0,2110.17,0,0,0,0,0,,0,2023-07-12
2,Kattameya Creeks,10211,محمود جمال محمود محمد,138,35 Kattameya Creeks 57477/35,23405377,Subcontractors Civil,STANDARD,EGP,  27-JUN-23,57477,Operation M,,35749.31,2023-07-03,100% 21 Days,0,35749.31,0,0,0,0,0,,0,2023-07-12
2,Kattameya Creeks,10211,محمود جمال محمود محمد,138,36 Kattameya Creeks 57477/36,23405609,Subcontractors Civil,STANDARD,EGP,  11-JUL-23,57477,Operation M,,50675.87,2023-07-15,100% 21 Days,0,50675.87,0,0,0,0,0,,0,2023-07-12
1,EGAT Pelletizing Plant,10213,فيرتك-حنان جورج بشارة سالم,144,724,23307440,Misc,STANDARD,EGP,  09-JUL-23,85039,Stationary,,19799.86,2023-07-09,Immediate,0,19799.86,0,0,0,0,0,,0,2023-07-12
1,EMAAR-Pkg#162/163- Marassi,10213,فيرتك-حنان جورج بشارة سالم,123,705,23305928,Misc,STANDARD,EGP,  06-JUN-23,84064,Stationary,,8958.36,2023-06-06,Immediate,0,8958.36,0,0,0,0,0,,0,2023-07-12
1,Mivida BP#189,10213,فيرتك-حنان جورج بشارة سالم,170,714,23305934,Misc,STANDARD,EGP,  06-JUN-23,84759,Stationary,,5777.58,2023-06-06,Immediate,0,5777.58,0,0,0,0,0,,0,2023-07-12
1,Radamis City,10213,فيرتك-حنان جورج بشارة سالم,176,713,23305936,Misc,STANDARD,EGP,  06-JUN-23,84755,Stationary,,3046.91,2023-06-06,Immediate,0,3046.91,0,0,0,0,0,,0,2023-07-12
1,SSC Suez Steel Company Project,10213,فيرتك-حنان جورج بشارة سالم,184,715,23305932,Misc,STANDARD,EGP,  06-JUN-23,84761,Stationary,,15835.54,2023-06-06,Immediate,0,15835.54,0,0,0,0,0,,0,2023-07-12
1,Air Defense College,10213,فيرتك-حنان جورج بشارة سالم,150,703,23305930,Misc,STANDARD,EGP,  06-JUN-23,84061,Stationary,,9981.29,2023-06-06,Immediate,0,9981.29,0,0,0,0,0,,0,2023-07-12
